id,name,birth_canton,lat,long,wikidata_uri
0,Frienisberg,BE,,,
1,Lichtensteig,SG,,,
2,Saint-Gall,SG,,,
3,Soleure,SO,,,
4,Isenfluh,BE,,,
5,"La Chaux-de-Fonds",NE,,,
6,Bottens,VD,,,
7,Montreux,VD,,,
8,Meilen,ZH,,,
9,"Viège",VS,,,
10,Zurich,ZH,,,
11,Quinto,TI,,,
12,Gresso,TI,,,
13,Sorengo,TI,,,
14,"Neuchâtel",NE,,,
15,"Wädenswil",ZH,,,
16,Hambourg,Etranger,,,
17,"Bâle",BS,,,
18,Bielefeld,Etranger,,,
19,Wil,SG,,,
20,"Genève",GE,,,
21,Lucerne,LU,,,
22,Sissach,BL,,,
23,Alsace,Etranger,,,
24,Gerliswil,LU,,,
25,Nyon,VD,,,
26,Frauenfeld,TG,,,
27,"Arbon (TG)",TG,,,
28,Turin,Etranger,,,
29,Heerbrugg,SG,,,
30,"Büren",SO,,,
31,"Hütten",ZH,,,
32,Coire,GR,,,
33,Winterthour,ZH,,,
34,Laufen,BE,,,
35,Emmen,LU,,,
36,Olten,SO,,,
37,Petit-Saconnex,GE,,,
38,Sarnen,OW,,,
39,Schaffhouse,SH,,,
40,Aussersihl,ZH,,,
41,"Montréal",Etranger,,,
42,Fluntern,ZH,,,
43,"Frankfurt am Main",Etranger,,,
44,Francfort,Etranger,,,
45,Sainte-Croix,VD,,,
46,"Rio de Janeiro",Etranger,,,
47,Seewis,GR,,,
48,"Freiburg im Breisgau",Etranger,,,
49,Hauptwil,TG,,,
50,Berne,BE,,,
51,"Füllinsdorf",BL,,,
52,Bulle,FR,,,
53,Clarens,VD,,,
54,Berlin,Etranger,,,
55,Schleitheim,SH,,,
56,Danzig,Etranger,,,
57,Thalwil,ZH,,,
58,"Affoltern am Albis",ZH,,,
59,"Wülflingen",ZH,,,
60,Savognin,GR,,,
61,Conches,GE,,,
62,Bienne,BE,,,
63,Plainpalais,GE,,,
64,Erlach,BE,,,
65,Sursee,LU,,,
66,Romont,FR,,,
67,Lausanne,VD,,,
68,Payerne,VD,,,
69,Saint-Aubin,NE,,,
70,Yverdon,VD,,,
71,Wohlen,AG,,,
72,Eaux-Vives,GE,,,
73,Vevey,VD,,,
74,Paris,Etranger,,,
75,Poschiavo,GR,,,
76,Lutry,VD,,,
77,"Kölliken",AG,,,
78,Berthoud,BE,,,
79,Moscou,Etranger,,,
80,Maienfeld,GR,,,
81,Aarau,AG,,,
82,"Emmenbrücke-Littau (LU)",LU,,,
83,Witzwil,BE,,,
84,"Rüschegg",BE,,,
85,"Spiegel bei Bern",BE,,,
86,"Crans-près-Céligny",VD,,,
87,"Gênes",Etranger,,,
88,Berikon,AG,,,
89,Carouge,GE,,,
90,Kefikon,TG,,,
91,Winterthur,ZH,,,
92,Granges,SO,,,
93,Cologne,Etranger,,,
94,Niederuzwil,SG,,,
95,Cham,UR,,,
96,Varese,Etranger,,,
97,Liestal,BL,,,
98,"Rüti",ZH,,,
99,Riehen,BS,,,
100,Pratteln,BL,,,
101,"Le Locle",NE,,,
102,"Zürich-Hottingen",ZH,,,
103,Aigle,VD,,,
104,Oberentfelden,AG,,,
105,"Küsnacht",ZH,,,
106,"Unterägeri",ZG,,,
107,Zwingen,BL,,,
108,Aubonne,VD,,,
109,Grindelwald,BE,,,
110,Neudorf,LU,,,
111,"Liebefeld (Köniz)",BE,,,
112,Agarn,VS,,,
113,Cresciano,TI,,,
114,Hauenstein-Ifenthal,SO,,,
115,Cham,ZG,,,
116,Forel,VD,,,
117,Herisau,AR,,,
118,"La Tour-de-Peilz",VD,,,
119,Seewen,SZ,,,
120,Erstfeld,UR,,,
121,Bassecourt,JU,,,
122,Wyssachen,BE,,,
123,Reichenbach,BE,,,
124,Scharnachtal,BE,,,
125,Caslano,TI,,,
126,Milan,Etranger,,,
127,"Schübelbach",SZ,,,
128,"Rieden (auj. Wallisellen)",ZH,,,
129,Baar,ZG,,,
130,Appenzell,AI,,,
131,Buochs,NW,,,
132,Brienz,BE,,,
133,Stallikon,ZH,,,
134,"Les Verrières",NE,,,
135,Heimiswil,BE,,,
136,Uster,ZH,,,
137,Homburg,TG,,,
138,"Gelfingen (auj. comm. Hitzkirch)",LU,,,
139,Riex,VD,,,
140,Lancy,GE,,,
141,Massongex,VS,,,
142,Eglisau,ZH,,,
143,Meiringen,BE,,,
144,"Sankt Josefen",SG,,,
145,"Schönenwerd",SO,,,
146,"Mümliswil",SO,,,
147,Verbier,VS,,,
148,Cologny,GE,,,
149,Zurzach,AG,,,
150,Faido,TI,,,
151,Alexandrie,Etranger,,,
152,Samedan,GR,,,
153,Lyss,BE,,,
154,Konolfingen,BE,,,
155,Sion,VS,,,
156,Engelberg,OW,,,
157,Sierre,VS,,,
158,Cadiz,Etranger,,,
159,Stans,NW,,,
160,"Le Sentier",VD,,,
161,Ottenbach,ZH,,,
162,"Chêne-Bougeries",GE,,,
163,Oregon,Etranger,,,
164,Lugano,TI,,,
165,Herzogenbuchsee,BE,,,
166,Sachseln,OW,,,
167,Chancy,GE,,,
168,Nancy,Etranger,,,
169,"Rüdlingen",SH,,,
170,Wettingen,AG,,,
171,Bellinzone,TI,,,
172,Petit-Veyrier,GE,,,
173,Perly-Certoux,GE,,,
174,"New York",Etranger,,,
175,"Landecy (comm. Bardonnex)",GE,,,
176,Lyon,Etranger,,,
177,Mont-sur-Rolle,VD,,,
178,Bex,VD,,,
179,Peissy,GE,,,
180,"Sécheron",GE,,,
181,Veytaux,VD,,,
182,Vernier,GE,,,
183,Genthod,GE,,,
184,Hombrechtikon,ZH,,,
185,Trogen,AR,,,
186,Niederweningen,ZH,,,
187,Monthey,VS,,,
188,Churwalden,GR,,,
