id,name,birth_canton,frequency
0,Frienisberg,BE,1.0
1,Lichtensteig,SG,5.0
2,Saint-Gall,SG,224.0
3,Soleure,SO,88.0
4,Isenfluh,BE,1.0
5,La Chaux-de-Fonds,NE,151.0
6,Bottens,VD,3.0
7,Montreux,VD,24.0
8,Meilen,ZH,16.0
9,Viège,VS,11.0
10,Zurich,ZH,1037.0
11,Quinto,TI,2.0
12,Gresso,TI,1.0
13,Sorengo,TI,141.0
14,Neuchâtel,NE,208.0
15,Wädenswil,ZH,27.0
16,Hambourg,Etranger,31.0
17,Bâle,BS,797.0
18,Bielefeld,Etranger,3.0
19,Wil,SG,9.0
20,Genève,GE,978.0
21,Lucerne,LU,181.0
22,Sissach,BL,6.0
23,Alsace,Etranger,3.0
24,Gerliswil,LU,1.0
25,Nyon,VD,28.0
26,Frauenfeld,TG,65.0
27,Arbon (TG),TG,1.0
28,Turin,Etranger,15.0
29,Heerbrugg,SG,5.0
30,Büren,SO,2.0
31,Hütten,ZH,1.0
32,Coire,GR,73.0
33,Winterthour,ZH,136.0
34,Laufen,BE,2.0
35,Emmen,LU,4.0
36,Olten,SO,43.0
37,Petit-Saconnex,GE,13.0
38,Sarnen,OW,8.0
39,Schaffhouse,SH,97.0
40,Aussersihl,ZH,4.0
41,Montréal,Etranger,8.0
42,Fluntern,ZH,3.0
43,Frankfurt am Main,Etranger,15.0
44,Francfort,Etranger,9.0
45,Sainte-Croix,VD,24.0
46,Rio de Janeiro,Etranger,2.0
47,Seewis,GR,1.0
48,Freiburg im Breisgau,Etranger,15.0
49,Hauptwil,TG,2.0
50,Berne,BE,514.0
51,Füllinsdorf,BL,1.0
52,Bulle,FR,13.0
53,Clarens,VD,3.0
54,Berlin,Etranger,71.0
55,Schleitheim,SH,6.0
56,Danzig,Etranger,2.0
57,Thalwil,ZH,26.0
58,Affoltern am Albis,ZH,5.0
59,Wülflingen,ZH,2.0
60,Savognin,GR,1.0
61,Conches,GE,2.0
62,Bienne,BE,107.0
63,Plainpalais,GE,22.0
64,Erlach,BE,2.0
65,Sursee,LU,14.0
66,Romont,FR,13.0
67,Lausanne,VD,732.0
68,Payerne,VD,22.0
69,Saint-Aubin,NE,3.0
70,Yverdon,VD,54.0
71,Wohlen,AG,11.0
72,Eaux-Vives,GE,30.0
73,Vevey,VD,94.0
74,Paris,Etranger,101.0
75,Poschiavo,GR,9.0
76,Lutry,VD,10.0
77,Kölliken,AG,2.0
78,Berthoud,BE,16.0
79,Moscou,Etranger,14.0
80,Maienfeld,GR,6.0
81,Aarau,AG,84.0
82,Emmenbrücke-Littau (LU),LU,1.0
83,Witzwil,BE,1.0
84,Rüschegg,BE,3.0
85,Spiegel bei Bern,BE,1.0
86,Crans-près-Céligny,VD,3.0
87,Gênes,Etranger,8.0
88,Berikon,AG,1.0
89,Carouge,GE,20.0
90,Kefikon,TG,1.0
91,Winterthur,ZH,72.0
92,Granges,SO,16.0
93,Cologne,Etranger,17.0
94,Niederuzwil,SG,5.0
95,Cham,UR,14.0
96,Varese,Etranger,1.0
97,Liestal,BL,21.0
98,Rüti,ZH,12.0
99,Riehen,BS,12.0
100,Pratteln,BL,6.0
101,Le Locle,NE,44.0
102,Zürich-Hottingen,ZH,1.0
103,Aigle,VD,17.0
104,Oberentfelden,AG,4.0
105,Küsnacht,ZH,12.0
106,Unterägeri,ZG,6.0
107,Zwingen,BL,1.0
108,Aubonne,VD,10.0
109,Grindelwald,BE,8.0
110,Neudorf,LU,1.0
111,Liebefeld (Köniz),BE,1.0
112,Agarn,VS,1.0
113,Cresciano,TI,2.0
114,Hauenstein-Ifenthal,SO,1.0
115,Cham,ZG,
116,Forel,VD,1.0
117,Herisau,AR,44.0
118,La Tour-de-Peilz,VD,11.0
119,Seewen,SZ,1.0
120,Erstfeld,UR,4.0
121,Bassecourt,JU,4.0
122,Wyssachen,BE,2.0
123,Reichenbach,BE,2.0
124,Scharnachtal,BE,1.0
125,Caslano,TI,1.0
126,Milan,Etranger,34.0
127,Schübelbach,SZ,3.0
128,Rieden (auj. Wallisellen),ZH,1.0
129,Baar,ZG,16.0
130,Appenzell,AI,37.0
131,Buochs,NW,5.0
132,Brienz,BE,2.0
133,Stallikon,ZH,2.0
134,Les Verrières,NE,8.0
135,Heimiswil,BE,2.0
136,Uster,ZH,25.0
137,Homburg,TG,3.0
138,Gelfingen (auj. comm. Hitzkirch),LU,2.0
139,Riex,VD,2.0
140,Lancy,GE,13.0
141,Massongex,VS,1.0
142,Eglisau,ZH,5.0
143,Meiringen,BE,7.0
144,Sankt Josefen,SG,2.0
145,Schönenwerd,SO,9.0
146,Mümliswil,SO,4.0
147,Verbier,VS,1.0
148,Cologny,GE,11.0
149,Zurzach,AG,10.0
150,Faido,TI,10.0
151,Alexandrie,Etranger,8.0
152,Samedan,GR,11.0
153,Lyss,BE,8.0
154,Konolfingen,BE,4.0
155,Sion,VS,45.0
156,Engelberg,OW,7.0
