id,wikidata_uri,names
0,https://www.wikidata.org/wiki/Q124216,Suisse
1,https://www.wikidata.org/wiki/Q359322,Française
2,https://www.wikidata.org/wiki/Q42406,Anglaise
3,https://www.wikidata.org/wiki/Q42884,Allemande
4,https://www.wikidata.org/wiki/Q842438,Britannique
5,https://www.wikidata.org/wiki/Q110904399,Italienne
6,https://www.wikidata.org/wiki/Q1196645,Canadienne
7,https://www.wikidata.org/wiki/Q1891793,Marocaine
8,https://www.wikidata.org/wiki/Q19840821,Singapourienne
9,https://www.wikidata.org/wiki/Q846570,Américaine
10,https://www.wikidata.org/wiki/Q170826,Irlandaise
11,https://www.wikidata.org/wiki/Q113018337,Suédoise
12,https://www.wikidata.org/wiki/Q110904399,Italien
13,https://www.wikidata.org/wiki/Q121842,Français
14,https://www.wikidata.org/wiki/Q115771874,Hongroise
15,https://www.wikidata.org/wiki/Q237534,Autrichienne
16,https://www.wikidata.org/wiki/Q160894,Espagnole
17,https://www.wikidata.org/wiki/Q1377716,Belge
18,https://www.wikidata.org/wiki/Q492468,Russe
19,https://www.wikidata.org/wiki/Q79797,Arménienne
20,https://www.wikidata.org/wiki/Q42884,Allemand
21,https://www.wikidata.org/wiki/Q113388199,Chinoise
22,,Polonaise
23,https://www.wikidata.org/wiki/Q105969758,Tchèque
24,https://www.wikidata.org/wiki/Q200569,Hollandaise
25,https://www.wikidata.org/wiki/Q862086,Indienne
26,https://www.wikidata.org/wiki/Q101242814,Grecque
27,https://www.wikidata.org/wiki/Q875556,Israélienne
28,https://www.wikidata.org/wiki/Q1061510,Egyptienne
29,https://www.wikidata.org/wiki/Q99766936,Ivoirienne
30,https://www.wikidata.org/wiki/Q179248,Albanais
31,,Expagne
32,https://www.wikidata.org/wiki/Q200569,Néerlandaise
33,https://www.wikidata.org/wiki/Q2459831,Tunisienne
34,https://www.wikidata.org/wiki/Q84072,Turque
35,https://www.wikidata.org/wiki/Q7901501,Uruguayenne
36,https://www.wikidata.org/wiki/Q100148072,Monténégrine
37,https://www.wikidata.org/wiki/Q873625,Brésilienne
38,,Apatride
39,https://www.wikidata.org/wiki/Q79797,Arménien
40,https://www.wikidata.org/wiki/Q164714,Danoise
41,https://www.wikidata.org/wiki/Q42406,Anglais
42,https://www.wikidata.org/wiki/Q61361124,Coréenne Du Sud
43,https://www.wikidata.org/wiki/Q101094595,Roumaine
44,https://www.wikidata.org/wiki/Q111654008,Bulgare
45,https://www.wikidata.org/wiki/Q200569,Hollandiaise
46,https://www.wikidata.org/wiki/Q846570,Etats-unis
47,https://www.wikidata.org/wiki/Q1196645,Canadien
48,https://www.wikidata.org/wiki/Q97704261,Sud-africaine
49,https://www.wikidata.org/wiki/Q2698746,Liechtensteinoise
50,https://www.wikidata.org/wiki/Q873625,Brésilien
51,https://www.wikidata.org/wiki/Q100789867,Géorgienne
52,,Prussienne
53,,Tchèqueslovaque
54,https://www.wikidata.org/wiki/Q105969940,Slovaque
55,https://www.wikidata.org/wiki/Q97890404,Angolaise
56,https://www.wikidata.org/wiki/Q875556,Israelienne
57,https://www.wikidata.org/wiki/Q188779,Norvégienne
58,https://www.wikidata.org/wiki/Q871904,Néo-zélandaise
59,https://www.wikidata.org/wiki/Q16009362,Finlandaise
60,https://www.wikidata.org/wiki/Q178630,Portuguaise
61,https://www.wikidata.org/wiki/Q1092641,Luxembourgeoise
62,,Austro-hongroise
63,https://www.wikidata.org/wiki/Q1276073,Chilienne
64,https://www.wikidata.org/wiki/Q2365041,Argentine
65,,Tchécoslovaque
66,https://www.wikidata.org/wiki/Q236807,Yougoslave
67,https://www.wikidata.org/wiki/Q4359289,Péruvienne
68,https://www.wikidata.org/wiki/Q111654081,Croate
69,https://www.wikidata.org/wiki/Q63979002,Mozambicaine
70,https://www.wikidata.org/wiki/Q16007968,Afgane
71,https://www.wikidata.org/wiki/Q1318423,Australienne
72,https://www.wikidata.org/wiki/Q61361124,Sud-coréenne
73,https://www.wikidata.org/wiki/Q397297,Iranienne
74,https://www.wikidata.org/wiki/Q97466048,Togolaise
75,https://www.wikidata.org/wiki/Q97674394,Rwandaise
76,https://www.wikidata.org/wiki/Q58893412,Japonnaise
77,https://www.wikidata.org/wiki/Q58893412,Japonse
78,https://www.wikidata.org/wiki/Q110904399,Italie
79,https://www.wikidata.org/wiki/Q19840401,Malaisienne
80,https://www.wikidata.org/wiki/Q1785086,Kosovare
81,https://www.wikidata.org/wiki/Q12480578,Algérienne
82,https://www.wikidata.org/wiki/Q100448818,Kowait
83,https://www.wikidata.org/wiki/Q113018337,Suédois
84,,Bavaroise
85,https://www.wikidata.org/wiki/Q124216,Suisse
86,https://www.wikidata.org/wiki/Q188779,Norvégien
87,https://www.wikidata.org/wiki/Q2606511,Libanaise
88,https://www.wikidata.org/wiki/Q2997267,Colombienne
89,,Quatarie
90,https://www.wikidata.org/wiki/Q133032,Hongrois
91,https://www.wikidata.org/wiki/Q707133,Taiwanaise
92,https://www.wikidata.org/wiki/Q1209676,Mexicaine
93,https://www.wikidata.org/wiki/Q161652,Japonaise
94,,Lituanienne
95,https://www.wikidata.org/wiki/Q127885,Serbe
96,https://www.wikidata.org/wiki/Q170826,Irlandais
97,https://www.wikidata.org/wiki/Q3275151,Vietnamienne
98,https://www.wikidata.org/wiki/Q165235,Bosnienne
99,https://www.wikidata.org/wiki/Q236807,Yougosalve
100,https://www.wikidata.org/wiki/Q84072,Turc
101,https://www.wikidata.org/wiki/Q1318423,Autralienne
102,,
103,https://www.wikidata.org/wiki/Q191356,Islandaise
104,https://www.wikidata.org/wiki/Q15307583,Ghanéenne
105,https://www.wikidata.org/wiki/Q397297,Irannienne
106,,Ukrainienne
107,https://www.wikidata.org/wiki/Q101242814,Grèque
108,https://www.wikidata.org/wiki/Q60723796,Kenyanne
109,,Ecossaise
110,https://www.wikidata.org/wiki/Q200569,Hollandais
111,https://www.wikidata.org/wiki/Q871904,Nouvelle-zélande
112,https://www.wikidata.org/wiki/Q875556,Israéiienne
113,https://www.wikidata.org/wiki/Q10464898,Chypriote
114,https://www.wikidata.org/wiki/Q18600381,Saoudienne
115,https://www.wikidata.org/wiki/Q4172847,Philippine
116,https://www.wikidata.org/wiki/Q101500220,Macedonien
117,https://www.wikidata.org/wiki/Q2606511,Libanais
