id,name,wikidata_uri
0,Suisse,
1,suisse,
2,"Française",
3,Anglaise,
4,Allemande,
5,"Suisse et britannique",
6,Italienne,
7,"puis suisse?",
8,Canadienne,
9,Allemande?,
10,"puis Suisse",
11,"Française?",
12,"Suisse et française",
13,"Suisse et Française",
14,Suisse?,
15,"Suisse et marocaine",
16,Singapour,
17,"Américaine",
18,"Suisse et Britannique",
19,Irlandaise,
20,"Suédoise",
21,"puis suisse",
22,"Italien/Français",
23,"puis Suisse?",
24,"puis Suisse (dès 1858)",
25,Hongroise,
26,Autrichienne,
27,"Espagnole et suisse (2015)",
28,"Suisse et Belge",
29,"Française et Suisse",
30,"Suisse et Italienne",
31,Italienne?,
32,Russe?,
33,"Arménienne",
34,Allemand,
35,"Suisse et allemande",
36,Chinoise,
37,"Suisse et Hongroise",
38,Espagnole,
39,Polonaise,
40,Russe,
41,"puis suisse (1867)",
42,"allemande et suisse (1890)",
43,"Tchèque",
44,Hollandaise,
45,Belge,
46,"Italienne et suisse",
47,Indienne,
48,"Suisse?
Américaine?",
49,Autrichienne?,
50,"Française et suisse",
51,Grecque,
52,"Allemande et suisse",
53,"puis suisse (1972)",
54,"puis suisse (1952)",
55,"puis suisse (1968)",
56,"Suisse et Grecque",
57,"puis américaine",
58,"Allemande et Suisse",
59,"Française et Canadienne",
60,Britannique,
61,"puis suisse (1951)",
62,"puis Française",
63,"Suisse et Canadienne",
64,"Israélienne",
65,"puis allemand (1932)",
66,"Française et depuis 1974 suisse",
67,"Autrichienne et Américaine",
68,"égyptienne",
69,italienne,
70,?,
71,"belge et autrichienne",
72,"Hollandaise et Anglaise",
73,"Américaine  (irlandaise?)",
74,"Française et ivoirienne",
75,"Suisse et egyptienne",
76,"Française et suisse (depuis 1986)",
77,"Italienne et Suisse",
78,Albanais,
79,"Suisse et Expagne",
80,"néerlandaise",
81,Tunisienne,
82,Turque,
83,"Uruguayenne et irlandaise",
84,Belgique,
85,"Egyptienne et Monténégrine",
86,Marocaine,
87,"puis Suisse (1889)",
88,"Italienne (piémontaise)",
89,"puis suisse (1863)",
90,"Française et brésilienne",
91,Belge?,
92,"Suisse (1859)",
93,"puis anglaise",
94,"Suisse et belge",
95,Apatride,
96,"arménien?",
97,Danoise,
98,"Américaine et indienne",
99,"Brésilienne",
100,"Suisse et anglais",
101,"Belge et suisse",
102,"Belge et marocaine",
103,Hongroise?,
104,"Italienne/Américaine",
105,"Coréenne du Sud",
106,"américaine et suisse",
107,"Suisse et italienne",
108,"Roumaine et suisse",
109,Bulgare,
110,"Américaine?",
111,anglais,
112,Americaine?,
113,Hollandiaise,
114,Suise,
115,Hongrois?,
116,"Suisse et Etats-Unis",
117,"Italienne et suisse (2001)",
118,Italo-canadien,
119,Sud-Africaine,
120,"Suisse et Liechtensteinoise",
121,"Suisse et brésilien",
122,"Israélienne et Allemande",
123,Liechtensteinoise,
124,"Belge et Française",
125,"Grec + Suisse",
126,"puis Suisse (1915)",
127,"puis Suisse (1906)",
128,"puis Suisse (1933)",
129,"puis Suisse (1919)",
130,"puis Suisse (1932)",
131,"Géorgienne",
132,"puis Suisse (1905)",
133,"puis Américaine (1968)",
134,"Suisse et Américaine",
135,"Italienne et Suisse ?",
136,Prusse,
137,"Suisse et USA jusqu'en 2002",
138,"Tchèqueslovaque",
139,"puis Suisse et Slovaque",
140,Angolaise,
141,"Suisse et Allemande",
142,"Suisse et Anglaise",
143,Sud-Africaine/israelienne,
144,"Norvégienne",
145,"Hollandaise et Suisse",
146,"Néo-Zélandaise",
147,indienne,
148,Finlandaise,
149,Portuguaise,
150,"Suisse et autrichienne",
