id,name,first_name,birth_date,birthplace_notes,rank_id,birth_place_id
1,Gerber,Peter,08.06.1923,,0,0
2,Ineichen,Teja,19.08.1913,,,
3,Stump,Albert,"1926 ?",,1,1
4,Allenspach-Wegelin,Heinz,22.02.1928,,1,2
5,Durtschi,Ernst,13.04.1893,,,3
6,Hug-Hock,Friedrich,14.11.1880,,,2
7,Wyss,"Conrad (Konrad)",22.12.1877,,,4
8,Maire,Albert,22.01.1874,,,5
9,Tzaut,Charles,21.04.1867,,2,6
10,Dubochet,Emmanuel,06.05.1868,,,7
11,"Wunderli-von Muralt",Hans,03.07.1842,,,8
12,Holdener,Meinrad,07.05.1910,,,
13,Wyer,Hans,07.01.1927,,0,9
14,Schmid-Ammann,Paul,02.02.1900,,,10
15,Celio-Cattaneo,Nello,12.02.1914,,3,11
16,Speziali,Carlo,05.12.1921,,0,12
17,Borradori,Marco,06.06.1959,,,13
18,"Jeanprêtre",Francine,06.07.1946,,,14
19,Rochat,Charles-Louis,20.11.1946,,,
20,"Zölch",Elisabeth,24.04.1951,,,
21,Streuli-Streuli,Rudolf,28.04.1871,,,15
22,Foriel-Destezet,Philippe,12.09.1935,,,
23,Bowmer,"John P.",1944,,,
24,Fust,Walter,17.07.1941,,,
25,"Kühne",Klaus-Michael,02.06.1937,,,16
26,Coninx,Hans-Heinrich,23.08.1945,,5,
27,Jeker,"Robert A.",26.08.1935,,0,17
28,Oetker,Arend,30.03.1939,,,18
29,Betschon,"Franz Felix",29.11.1941,,0,
30,Fasel,Edouard,1888,,,
31,"Grüebler",Walter,19.05.1942,,5,19
32,Wyss,"Hansjörg",19.09.1935,,,
33,"Salathé",Edward-Trevor,1925,,,
34,Perrot,Jacques,23.02.1946,,,
35,Krauer,"Alex (Alexander)",03.06.1931,,5,17
36,"Hüppi",Rudolf,25.04.1943,,,
37,Aubert,"Henri (Henry Louis)",24.11.1849,,0,20
38,Bauer,"Ernest (ou Ernst)",14.02.1861,,,17
39,Blankart-Kempter,Charles,26.06.1865,,,21
40,Bodmer-Zoelly,"Hans Conrad",06.06.1851,,5,10
41,Buchmann-Schardt,Christian,28.03.1858,,,
42,"Büel",Arnold,1857,,0,
43,Burckhardt-Zahn,"Albrecht (Carl)",17.08.1867,,,
44,Burckhardt-Brenner,Fritz,27.12.1830,,,22
45,"Courvoisier-Chaponnière",Jean-Louis,20.03.1874,,,14
46,Graf,Eduard,14.10.1850,,2,
47,Leder-Angst,Friedrich,1861,,,
48,Mauderli,"Fridolin (Joseph Jakob Fridolin)",1847,,,
49,"Müller-Staub","Johann Jakob",1844,,,
50,Mylius-Passavant,Albert,11.07.1874,,0,
51,Nauer,"Wilhelm 2",30.09.1874,,5,
52,Preiswerk-Ringwald,Rudolf,12.03.1834,,,
53,Rueff,"Léon",1863,,,23
54,Vischer-Burckhardt,Carl,1876,,,
55,Vogt,Albert,08.08.1858,,,24
56,"André",Georges-Alfred,1907,,,25
57,Brinz,"Eduard M.",1860,,,
58,"Jamnicki Abegg",Marina,1970,,,
59,"Böckli",Alfred,24.08.1894,,5,26
60,"Droz-Müller",Henry,,,5,
61,Durrer,Robert,18.11.1890,,,27
62,Germann,"Walter 2",1909,,5,
63,Ryter,William,20.10.1898,,,
64,Sandri-Delachaux,"Giovanni (John)",03.03.1900,,,28
