id,orginal_rank_value,german_rank,french_rank,wikidata_uri
0,"Colonel / Oberst",Oberst,colonel,
1,"Lieutenant-Colonel / Oberstleutnant",Oberstleutnant,lieutenant-colonel,
2,"Major / Major",Major,major,
3,"Capitaine / Hauptmann",Hauptmann,capitaine,
4,"Colonel / Oberst (depuis 1974)",Oberst,colonel,
5,"Premier-lieutenant / Oberleutnant",Oberleutnant,premier-lieutenant,
6,"Commandant de corps / Korpskommandant",Korpskommandant,"commandant de corps",
7,"Lieutenant / Leutnant",Leutnant,lieutenant,
8,"Lieutenant-Colonel / Oberstleutnant?",Oberstleutnant,lieutenant-colonel,
9,"Divisionnaire / Divisionär","Divisionär",divisionnaire,
10,"Brigadier / Brigadier",Brigadier,brigadier,
11,"Premier-lieutenant / Oberleutnant?",Oberleutnant,premier-lieutenant,
12,"Reformé",,"reformé",
13,Major,Major,major,
14,"Capitaine / Hauptmann?",Hauptmann,capitaine,
15,"Officier d'artillerie",,"officier d'artillerie",
16,"Sanitäthauptmann","Sanitäthauptmann",,
17,"Capitaine / Hauptmann ?",Hauptmann,capitaine,
18,Colonel,,colonel,
19,"Caporal d'artillerie",,"caporal d'artillerie",
20,"Hauptmann, Major der Artillerie","Hauptmann, Major der Artillerie",,
21,"Major / Oberstlieutenant",Oberstleutnant,major,
22,"Hauptmann / Landwehrhauptmann","Hauptmann, Landwehrhauptmann",,
23,"Lieutnant, Artilleriehauptmann","Leutnant, Artilleriehauptmann",lieutnant,
24,"Schützenhauptmann","Schützenhauptmann",,
25,"Hauptmann der Kavallerie","Hauptmann der Kavallerie",,
26,"Oberstleutnant / GrossrichTerritorialgericht 5","Oberstleutnant, GrossrichTerritorialgericht 5",,
27,"Oberstbrigadier / Oberauditor er Armee","Oberstbrigadier, Oberauditor der Armee",,
28,"Stabsmajor / Oberstlieutnant /Oberst","Stabsmajor, Oberstlieutnant, Oberst",,
29,"Hauptmann der Infanterie","Hauptmann der Infanterie",,
30,Oberst,Oberst,,
31,"Major / Oberstleutnant",Oberstleutnant,major,
32,"Secrétaire d'état-major",,"secrétaire d'état-major",
33,"Major / Oberst",Oberst,major,
34,Fourier,Fourier,,
