id,orginal_rank_value,german_rank,french_rank,orginal_rank_frequency
0,Colonel / Oberst,Oberst,colonel,872
1,Lieutenant-Colonel / Oberstleutnant,Oberstleutnant,lieutenant-colonel,413
2,Major / Major,Major,major,442
3,Capitaine / Hauptmann,Hauptmann,capitaine,677
4,Colonel / Oberst (depuis 1974),Oberst,colonel,1
5,Premier-lieutenant / Oberleutnant,Oberleutnant,premier-lieutenant,481
6,Commandant de corps / Korpskommandant,Korpskommandant,commandant de corps,53
7,Lieutenant / Leutnant,Leutnant,lieutenant,50
8,Lieutenant-Colonel / Oberstleutnant?,Oberstleutnant,lieutenant-colonel,5
9,Divisionnaire / Divisionär,Divisionär,divisionnaire,56
10,Brigadier / Brigadier,Brigadier,brigadier,100
11,Premier-lieutenant / Oberleutnant?,Oberleutnant,premier-lieutenant,14
12,Reformé,,reformé,1
13,Major,Major,major,41
14,Capitaine / Hauptmann?,Hauptmann,capitaine,18
15,Officier d'artillerie,,officier d'artillerie,1
16,Sanitäthauptmann,Sanitäthauptmann,,1
17,Capitaine / Hauptmann ?,Hauptmann,capitaine,8
18,Colonel,,colonel,8
19,Caporal d'artillerie,,caporal d'artillerie,1
20,"Hauptmann, Major der Artillerie","Hauptmann, Major der Artillerie",,1
21,Major / Oberstlieutenant,Oberstleutnant,major,1
22,Hauptmann / Landwehrhauptmann,"Hauptmann, Landwehrhauptmann",,1
23,"Lieutnant, Artilleriehauptmann","Leutnant, Artilleriehauptmann",lieutnant,2
24,Schützenhauptmann,Schützenhauptmann,,1
25,Hauptmann der Kavallerie,Hauptmann der Kavallerie,,1
26,Oberstleutnant / GrossrichTerritorialgericht 5,"Oberstleutnant, GrossrichTerritorialgericht 5",,1
27,Oberstbrigadier / Oberauditor er Armee,"Oberstbrigadier, Oberauditor der Armee",,1
28,Stabsmajor / Oberstlieutnant /Oberst,"Stabsmajor, Oberstlieutnant, Oberst",,1
29,Hauptmann der Infanterie,Hauptmann der Infanterie,,1
30,Oberst,Oberst,,15
31,Major / Oberstleutnant,Oberstleutnant,major,1
32,Secrétaire d'état-major,,secrétaire d'état-major,1
33,Major / Oberst,Oberst,major,1
34,Fourier,Fourier,,1
35,Divisionsarzt,Divisionsarzt,,1
36,Divisionsarzt / Oberst Sanität,Oberst Sanität,divisionsarzt,1
37,Commandant,Kommandant,,3
38,Colonel de cavalerie,,colonel de cavalerie,1
39,Lieutenant Colonel (Bataillon 64),,lieutenant colonel (bataillon 64),1
40,Sergent-major,,sergent-major,1
41,Adjudant (troupes cyclistes),,adjudant (troupes cyclistes),1
42,Colonel de justice militaire,,colonel de justice militaire,1
43,Lieutenant colonel,,lieutenant colonel,1
44,colonel,,colonel,1
45,Capitaine,,capitaine,6
46,Colonel brigadier,,colonel brigadier,2
47,Unteroffizier,Unteroffizier,,1
48,Major / Major ?,Major,major,4
49,Officier spécialiste / Fachoffizier,Fachoffizier,officier spécialiste,32
50,Lieutenant / Leutnant?,Leutnant,lieutenant,4
51,Premier-lieutenant / Oberleutnant (depuis 1946),Oberleutnant,premier-lieutenant,2
52,Lieutenant,Leutnant,lieutenant,3
53,Brigadier,Brigadier,brigadier,2
54,Caporal,,caporal,4
55,Adj Uof,,adj uof,1
56,Colonel EMG,,colonel emg,2
57,Kavalleriehauptmann,Kavalleriehauptmann,,1
58,Wachtmeister / Militärrichter,,"wachtmeister, militärrichter",1
59,sous-officier,,sous-officier,2
60,Colonel fédéral,,colonel fédéral,2
61,Colonel d'infanterie,,colonel d'infanterie,1
62,Chef de section,,chef de section,1
63,officier,,officier,4
64,Lieutenant-Colonel / ?Oberstleutnant,Oberstleutnant,lieutenant-colonel,2
65,Lieutenant médecin,,lieutenant médecin,1
66,Fachoffizier,Fachoffizier,,31
67,Hptm,Hauptmann,,1
68,Hauptmann Capitaine / Militärjustiz,"Hauptmann, Militärjustiz",capitaine,1
69,Lieutnant,Leutnant,lieutnant,1
70,Oberstleutnant i.Gst,Oberstleutnant i.Gst,,1
71,Colonel divisionnaire?,,colonel divisionnaire,1
72,Adj sof,,adj sof,1
73,Lieutenant-Colonel ?/ Oberstleutnant,Oberstleutnant,lieutenant-colonel,1
74,Général / General,General,général,2
75,Brigadier / Brigadier (1962-1975),Brigadier,brigadier,1
76,Colonel / Oberst ?,Oberst,colonel,1
77,Premier-lieutenant / ?Oberleutnant,Oberleutnant,premier-lieutenant,5
78,Premier-lieutenant ?/ Oberleutnant,Oberleutnant,premier-lieutenant,1
79,Juge du tribunal de Division 9B (1947-1952),,juge du tribunal de division 9b (1947-1952),1
80,Appointé,,appointé,3
81,Officier,,officier,1
82,Commandant de corps / Korpskommandant  ?,Korpskommandant,commandant de corps,1
83,Premier-lieutenant / Oberleutnant? (Grade 1988),Oberleutnant,premier-lieutenant,1
84,Gefreiter,Gefreiter,,2
85,Major / Major?,Major,major,5
86,Major / Major (1968-1985),Major,major,1
87,Capitaine / Hauptmann (1959),Hauptmann,capitaine,1
88,Lieutenant-Colonel ? / Oberstleutnant,Oberstleutnant,lieutenant-colonel,1
89,Capitaine / Hauptmann? (Grade en 1988),Hauptmann,capitaine,1
90,Kommandant,Kommandant,,2
91,Colonel / Oberst?,Oberst,colonel,2
92,Brigadier / Brigadier?,Brigadier,brigadier,1
93,Sergenz,,sergent,1
94,Premier-lieutenant / Oberleutnant? (Grade en 1988),Oberleutnant,premier-lieutenant,1
95,"Oberst, Oberstlieutnant","Oberst, Oberstlieutnant",,1
96,"Infanterie-Major / Oberstleutnant, Kommandant 23. Infanterieregiment","Oberstleutnant, Kommandant 23. Infanterieregiment",infanterie-major,2
97,Lieutenant / Leutnant??,Leutnant,lieutenant,1
